category_raw,category
Men'S Wear,Fashion
Women'S Wear,Fashion
"Sports, Books And More",Sports
Bady And Kids,Other
Home And Furniture,Home
"Dry Fruits, Nuts & Seeds",Other
Atta & Flours,Other
"Sugar, Jaggery & Salt",Other
Rice & Rice Products,Other
Masalas & Spices,Groceries
Ready To Cook,Other
Ghee & Oils,Other
Dals & Pulses,Other
Tea,Other
Pickles & Chutney,Other
Noodles & Pasta,Other
Electronics,Electronics
Soft Drinks,Other
Juices,Other
Health Drink Mix,Health
Jams & Honey,Other
Dairy,Other
"Chips,Namkeen & Snacks",Groceries
"Deos, Perfumes & Talc",Beauty
Soaps & Body Wash,Beauty
Repellants & Fresheners,Other
Chocolates & Sweets,Groceries
Cooking Sauces & Vinegar,Other
Ketchups & Spreads,Other
Baby Foods,Groceries
Pooja Needs,Other
Utensil Cleaners,Other
Detergents & Laundry,Other
Breakfast Cereals,Other
Baby Bath & Skin Care,Beauty
Shaving Needs,Other
Eggs,Other
Hair Care,Beauty
"Creams, Lotions, Skin Care",Beauty
Wellness & Common Pharma,Other
Diapers & Wipes,Other
Sanitary Needs,Other
Paper & Disposables,Office
Baking,Other
Biscuits,Other
Coffee,Other
Floor & Other Cleaners,Other
Oral Care,Automotive
Kajal & Makeup,Beauty
Household Care|Pet Food,Groceries
