Mission,Coverage Score,Category Diversity,Business Value,Recommendation Quality,Clarification Potential,Overall Score
Hostel Setup,8.0,10.0,9.3,8.8,8.8,8.98
Gym Starter,10.0,10.0,9.5,9.4,9.4,9.66
Weekly Grocery,8.0,10.0,9.3,9.8,8.8,9.18
Movie Night,8.0,10.0,9.3,9.8,8.8,9.18
Men's Shaving Ritual,9.3,5.0,8.9,8.4,9.1,8.14
Oral Care Deep Clean,6.7,2.5,8.4,8.2,8.5,6.86
Baby Care Essentials,8.0,10.0,9.3,9.4,8.8,9.1
First Aid & Wellness,4.0,7.5,8.7,8.6,7.9,7.34
Car Care Maintenance,8.0,10.0,9.3,8.8,8.8,8.98
Pooja Puja Essentials,1.3,2.5,7.9,8.2,7.3,5.44
Birthday Party Prep,8.0,10.0,9.3,9.8,8.8,9.18
Travel Packing Essentials,10.0,10.0,9.5,8.8,9.4,9.54
Office/Study Desk Setup,8.0,10.0,9.3,9.2,8.8,9.06
Evening Tea/Coffee Break,9.3,10.0,9.4,9.2,9.1,9.4
Home Cleaning & Sanitation,6.7,10.0,9.2,8.8,8.5,8.64
Pet Grooming Essentials,8.0,10.0,9.3,9.6,8.8,9.14
Quick Breakfast,5.3,10.0,9.0,8.8,8.2,8.26
Baking Starter Kit,8.0,7.5,9.1,8.6,8.8,8.4
Summer Hydration Kit,8.0,10.0,9.3,8.8,8.8,8.98
Winter Skin Care,6.7,5.0,8.7,8.4,8.5,7.46
Eco-Friendly Home Pack,1.3,2.5,7.9,8.2,7.3,5.44
Hostel Room Cleaning,1.3,2.5,7.9,8.2,7.3,5.44
Newborn Baby Care,8.0,10.0,9.3,9.2,8.8,9.06
Dorm Cooking Essentials,8.0,10.0,9.3,9.0,8.8,9.02
Freelancer Remote Setup,8.0,10.0,9.3,9.0,8.8,9.02
Emergency Power & Lighting,8.0,7.5,9.1,8.6,8.8,8.4
Healthy Snacking,8.0,7.5,9.1,8.6,8.8,8.4
Home Office Ergonomics,1.3,2.5,7.9,8.2,7.3,5.44
Weekend Party Prep,8.0,10.0,9.3,9.6,8.8,9.14
